waypoint_id,joint1pose,joint2pose,joint3pose,joint4pose,joint5pose,joint6pose,joint1velocity,joint2velocity,joint3velocity,joint4velocity,joint5velocity,joint6velocity,FTData1,FTData2,FTData3,FTData4,FTData5,FTData6,TCA_button_288_state,TCA_button_289_state,TCA_button_292_state,TCA_button_293_state,TCA_button_704_state,TCA_switch_290_state,TCA_switch_291_state,TCA_switch_294_state,TCA_switch_295_state,TCA_switch_296_state,TCA_switch_297_state,TCA_switch_298_state,TCA_switch_299_state,TCA_switch_300_state,TCA_switch_301_state,TCA_switch_302_state,TCA_switch_303_state,TCA_switch_707_state,TCA_switch_708_state,TCA_switch_709_state,TCA_switch_710_state,TCA_switch_711_state,TCA_switch_712_state,TCA_switch_713_state,TCA_switch_714_state,TCA_switch_715_state,TCA_switch_716_state,TCA_switch_717_state,TCA_switch_718_state,TCA_switch_112_state,TCA_switch_0_state,TCA_lever_0_value,TCA_lever_1_value,TCA_lever_2_value,TCA_lever_5_value,TA320_button_0_state,TA320_button_0_state,TA320_button_0_state,TA320_button_0_state,TA320_button_0_state,TA320_button_0_state,TA320_button_0_state,TA320_button_0_state,TA320_button_0_state,TA320_button_0_state,TA320_button_0_state,TA320_button_0_state,TA320_button_0_state,TA320_button_0_state,TA320_button_0_state,TA320_button_0_state,TA320_switch_0_state,TA320_lever_0_value,TA320_lever_0_value,TA320_lever_0_value,TA320_lever_0_value,TA320_lever_0_value,TA320_lever_0_value,GripperState
0,1.12918,-1.61998,1.84334,-1.77751,-1.6922,1.38097,-3.37298e-05,0,-0,0,-0,0,2.21793,-6.39879,5.54885,0.23129,0.205599,0.0498445,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1.02491,-1.39528,2.30591,-2.54838,-1.66943,1.3808,0,0,-0,-0,0,-0,3.58873,-5.38169,5.19567,0.340235,0.233136,0.0684255,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0.810303,-1.44269,2.52296,-2.90276,-1.30904,1.38085,0,0,-0,0,-0,-0,6.37922,-9.70002,4.66134,0.457679,0.357445,0.0637316,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1.01386,-1.26786,2.02531,-2.02086,-1.64794,1.38084,0,0,-0,0,0,0,-0.082662,-6.85497,4.18646,0.380052,0.024652,0.0477121,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0.840981,-1.29458,2.07942,-2.01304,-1.36573,1.38083,0,0,-0,0,-0,0,0.705117,-10.1659,3.63618,0.526634,-0.00476962,0.0413609,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1.24269,-1.25572,2.14018,-2.3037,-2.06023,1.38051,0,0,-0,0,0,0,0.896245,-0.958799,2.99087,0.218318,0.0635484,0.0892655,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1.13201,-1.73914,2.14036,-2.30407,-1.63612,1.38052,0,0,-0,0,-0,0,8.73367,-6.45334,4.38007,0.271417,0.305085,0.135786,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.13199,-1.73914,2.14051,-2.304,-1.63611,1.3805,0,0,2.02741e-05,0,-0,0,8.8712,-4.63627,4.42041,0.337825,0.315251,0.121214,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,0.879914,-1.3469,2.17962,-2.32546,-1.55541,1.38051,0,4.50517e-05,-0,0,0,0,4.53338,-7.01354,2.80614,0.408025,0.0771704,0.112829,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1.01294,-1.20158,1.94638,-1.97075,-1.80131,1.38057,0,0,-0,0,-0,0,0.340459,-5.39914,3.05562,0.325202,-0.0261453,0.0669782,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,0.760324,-1.40927,2.35417,-2.59996,-1.35703,1.3614,0,0,-0,-0,-0,-0,2.04588,-7.61353,3.73107,0.4526,0.340352,-0.000552316,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,1.06128,-1.33057,2.34457,-2.79345,-1.88314,0.820766,0,0,-0,0,0,-0,1.78639,-2.47684,3.62269,0.193764,0.196907,0.0638947,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,0.902907,-1.3651,2.23687,-2.45429,-1.59829,-0.539839,0,0,-0,-0,-0,-0,2.44425,-7.35408,4.5641,0.369273,0.234035,0.0705696,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,1.06784,-1.6873,2.23582,-2.46101,-1.59638,0.920112,-6.37077e-13,1.3329e-07,-0,-0,-0,-0,5.03026,-5.5118,3.50435,0.1597,0.397451,0.0354584,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.06786,-1.68726,2.23589,-2.46096,-1.59637,0.920097,0,0,-0,-0,-0,-0,5.06244,-5.45452,3.92712,0.154534,0.400956,0.0296887,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,1.15896,-1.36153,2.2359,-2.50659,-1.62754,0.919542,0,0,-0,0,0,0,2.22667,-7.90331,4.355,0.240581,0.250346,0.0697192,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,1.27286,-1.32784,2.23396,-2.56401,-1.83548,0.8132,0,0,-0,0,0,-0,0.442223,-5.81819,2.99248,0.152048,0.197267,0.0458756,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,1.0944,-1.39359,2.33771,-2.68274,-1.51394,1.05241,0,0,-0,0,0,0,4.19632,-9.31559,3.4122,0.255976,0.32057,0.0892473,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,1.1611,-1.30156,2.08523,-2.21972,-1.62773,-0.301796,0,0,-0,0,0,0,1.47071,-9.6529,4.75034,0.485768,0.291545,0.116769,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,1.03494,-1.31367,2.1047,-2.18089,-1.40701,1.03442,0,0,-0,-0,-0,-0,1.01978,-11.5614,3.02012,0.377056,0.225615,-0.00144799,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,1.31548,-1.27162,2.10918,-2.32547,-1.91653,1.03345,-2.0622e-05,0,-0,-0,0,-0,-0.759731,-6.85968,3.34699,0.132735,0.120452,0.0352602,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,1.31512,-1.73626,2.11184,-2.20561,-1.90426,1.03345,0,0,-0,-0,0,-0,2.06336,-3.32968,4.42625,0.0847373,0.292019,0.0870772,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1.31515,-1.73628,2.11187,-2.20557,-1.90427,1.03346,0,2.99518e-19,-0,0,-0,-0,2.11974,-3.41383,4.46846,0.0788144,0.290823,0.0806409,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,1.11106,-1.33861,2.10385,-2.24436,-1.61183,1.32243,0,0,-0,0,0,-0,0.174174,-9.10696,-1.10281,0.331004,0.106825,0.0470558,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,1.29635,-1.30218,2.1419,-2.38981,-1.96037,1.2665,0,0,-0,0,0,0,1.68072,-5.7604,-0.209302,0.234498,0.20347,0.125245,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,1.03336,-1.37625,2.17319,-2.32738,-1.47484,1.08572,0,0,-0,-0,-0,-6.87762e-39,4.32758,-9.32549,-4.94106,0.212847,0.111232,0.00817116,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,1.01921,-1.42501,2.32138,-2.61936,-1.44351,-0.375663,0,0,-0,0,-0,0,3.27932,-8.04434,1.236,0.592041,0.294411,0.0683272,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,1.11264,-1.26225,1.96585,-2.00666,-1.62028,-0.412409,0,0,-0,-0,-0,0,3.42344,-9.12144,-2.02189,0.136217,0.264425,0.139835,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,1.14618,-1.33019,2.09476,-2.24067,-1.67487,1.25997,0,0,-0,-0,-0,0,0.911515,-8.70727,-2.8287,0.3093,0.0130523,0.0446757,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,1.14624,-1.63126,2.09475,-2.27472,-1.67478,1.25997,2.67404e-05,7.0005e-05,1.67814e-32,5.67161e-33,9.66517e-05,0,5.70407,-6.95511,4.30771,0.213112,0.307493,0.0696173,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1.14619,-1.63117,2.09485,-2.2745,-1.67478,1.26,0,0,-0,0,0,0,4.94591,-6.75339,4.42137,0.203061,0.323189,0.0715419,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,1.14393,-1.73259,2.04175,-2.08707,-1.67132,1.26001,0,0,-0,0,-0,-0,-0.417456,0.255775,1.09976,-0.00486581,0.00889428,0.019751,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,1.00172,-1.38487,2.32294,-2.65323,-1.58172,1.0995,0,0,-0,0,-0,0,-3.19577,-2.79946,-3.95454,0.0765972,-0.214418,-0.0263813,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,0.906639,-1.34748,2.17777,-2.29169,-1.41769,1.02076,0,0,-0,0,-0,0,-3.6878,-4.01777,-4.17451,0.019513,-0.203119,0.00215928,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,1.14118,-1.32803,2.23861,-2.54736,-1.83495,1.17796,0,0,-0,0,-0,-0,-3.31389,-1.64276,-6.28727,0.187678,-0.147454,0.0387932,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,0.885157,-1.4068,2.43033,-2.82128,-1.37543,1.15295,0,0,-0,0,0,-0,-3.19392,-4.99486,-8.34716,0.168121,-0.330302,-0.0578491,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,0.757025,-1.31099,2.16341,-2.15544,-1.16436,0.667349,0,0,-0,0,-0,0,-2.98568,-6.06467,-6.73217,-0.048668,-0.194072,0.0649826,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.00218204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
